longitude,latitude,property_type,room_type,price,minimum_nights,availability_30,availability_60,number_of_reviews,review_scores_rating,neighbourhood,bedrooms,bathrooms
-122.43386,37.76931,Apartment,Entire home/apt,$170.00,1,3,8,217,97,Duboce Triangle,1,1
-122.45805,37.75402,House,Private room,$99.00,1,5,32,160,94,Inner Sunset,1,1
-122.42102,37.74511,Apartment,Entire home/apt,$235.00,30,0,0,111,98,Bernal Heights,2,1
-122.4525,37.76669,Apartment,Private room,$65.00,32,30,60,18,86,Cole Valley,1,4
-122.45183,37.76487,Apartment,Private room,$65.00,32,30,60,8,93,Cole Valley,1,4
-122.43637,37.77525,House,Entire home/apt,$875.00,6,30,60,28,97,Alamo Square,2,1.5
-122.42237,37.75919,Condominium,Private room,$139.00,1,7,21,704,98,Mission District,1,1
-122.40543,37.76259,House,Private room,$135.00,1,15,41,511,94,Potrero Hill,1,1
-122.41327,37.75874,House,Entire home/apt,$225.00,30,13,43,337,96,Mission District,2,1
-122.41544,37.79143,Apartment,Entire home/apt,$120.00,30,0,27,18,99,Nob Hill,0,1
-122.43859,37.77187,Apartment,Entire home/apt,$177.00,30,12,42,37,89,Lower Haight,3,1
-122.42436,37.77355,Apartment,Entire home/apt,$194.00,30,0,0,15,91,Hayes Valley,3,2
-122.40798,37.78574,Apartment,Entire home/apt,$139.00,30,5,35,19,92,Union Square,1,1.5
-122.44594,37.77019,Apartment,Private room,$85.00,32,30,60,6,80,Haight-Ashbury,1,3
-122.44778,37.76894,Apartment,Private room,$85.00,32,30,60,5,64,Haight-Ashbury,1,3
-122.43032,37.76075,Apartment,Private room,$79.00,3,6,7,414,98,The Castro,1,1
-122.45455,37.76203,Townhouse,Entire home/apt,$122.00,30,0,0,17,95,Cole Valley,2,1
-122.42246,37.75491,Apartment,Entire home/apt,$215.00,3,2,8,114,97,Mission District,1,1
-122.39072,37.78647,Condominium,Entire home/apt,$450.00,90,30,60,14,96,South Beach,2,2
-122.42982,37.74888,Apartment,Entire home/apt,$107.00,30,0,12,62,96,Noe Valley,0,1
-122.43216,37.77252,Townhouse,Private room,$110.00,2,13,37,397,97,Lower Haight,1,1
-122.41533,37.7958,Loft,Entire home/apt,$125.00,30,23,53,119,98,Nob Hill,1,1
-122.45251,37.7648,Apartment,Private room,$65.00,32,30,60,14,78,Cole Valley,1,4
-122.44143,37.75963,House,Entire home/apt,$155.00,3,0,0,391,97,The Castro,1,1
-122.43673,37.74885,Apartment,Entire home/apt,$180.00,3,9,27,244,92,Noe Valley,1,1
-122.3991,37.75645,Apartment,Private room,$155.00,2,13,38,293,98,Potrero Hill,1,1
-122.43836,37.77162,Apartment,Private room,$79.00,1,0,4,197,96,Haight-Ashbury,1,1
-122.43386,37.78716,Guest suite,Entire home/apt,$195.00,5,6,17,314,96,Western Addition/NOPA,1,1
-122.43122,37.74188,House,Private room,$150.00,5,16,31,39,99,Noe Valley,1,1
-122.43421,37.77729,Townhouse,Private room,$110.00,3,9,26,429,98,Alamo Square,1,1
-122.39541,37.76212,House,Private room,$125.00,4,0,0,313,95,Potrero Hill,0,1
-122.4315,37.77478,Apartment,Entire home/apt,$450.00,2,0,0,33,91,Alamo Square,4,2
-122.43136,37.76298,Apartment,Entire home/apt,$125.00,30,12,27,132,100,The Castro,1,1
-122.42158,37.760980000000000,Condominium,Private room,$199.00,1,0,3,27,96,Mission District,1,1
-122.41163,37.73729,House,Entire home/apt,$220.00,4,0,0,16,97,Bernal Heights,2,2
-122.50518,37.77931,Apartment,Entire home/apt,$155.00,2,5,12,58,99,Richmond District,1,1
-122.41259,37.74025,Apartment,Entire home/apt,$150.00,30,24,54,94,96,Bernal Heights,1,1
-122.3973,37.76526,House,Entire home/apt,$240.00,1,8,29,571,99,Potrero Hill,1,1
-122.42488,37.7483,Guest suite,Entire home/apt,$107.00,30,30,60,20,96,Noe Valley,1,1
-122.42055,37.74093,Apartment,Entire home/apt,$94.00,60,0,0,22,98,Bernal Heights,0,1
-122.41969,37.76016,Apartment,Entire home/apt,$108.00,30,0,0,97,92,Mission District,1,1
-122.44844,37.78255,Apartment,Private room,$67.00,30,1,12,137,96,Presidio Heights,1,1
-122.43335,37.76125,House,Entire home/apt,$159.00,4,0,0,54,94,The Castro,1,1
-122.41763,37.74083,House,Private room,$127.00,3,11,30,255,98,Bernal Heights,1,2
-122.41866,37.75611,Apartment,Entire home/apt,$290.00,30,1,1,79,96,Mission District,2,1
-122.43302,37.73557,House,Entire home/apt,$136.00,30,0,0,148,89,Glen Park,0,1
-122.41851,37.73356,Apartment,Entire home/apt,$85.00,30,28,58,6,93,Bernal Heights,0,1
-122.41781,37.73404,House,Entire home/apt,$85.00,30,0,0,4,87,Bernal Heights,1,1
-122.41326,37.75117,Apartment,Entire home/apt,$104.00,10,0,0,11,91,Mission District,1,1.5
-122.38813,37.75447,Guest suite,Entire home/apt,$150.00,30,11,41,2,80,Dogpatch,2,1
-122.44084,37.77272,Guest suite,Entire home/apt,$110.00,30,0,3,8,56,Haight-Ashbury,2,1
-122.41207,37.75145,Apartment,Entire home/apt,$95.00,30,13,43,283,97,Mission District,1,1
-122.42165,37.75121,Apartment,Entire home/apt,$175.00,30,0,0,3,100,Mission District,1,1
-122.43331,37.76068,Guest suite,Entire home/apt,$116.00,3,2,4,140,94,The Castro,0,1
-122.43016,37.77248,House,Private room,$125.00,1,6,23,147,96,Hayes Valley,1,3
